Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$821,845,153",-,-,"$821,845,153",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$343,485,427","$74,885,427",21.8%,"$268,600,000",78.2%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Tom and Jerry,"$100,287,341","$41,487,341",41.4%,"$58,800,000",58.6%
6,Raya and the Last Dragon,"$94,227,991","$36,245,610",38.5%,"$57,982,381",61.5%
7,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
8,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
9,Sister,"$73,600,000",-,-,"$73,600,000",100%
10,Evangelion: 3.0+1.0 Thrice Upon a Time,"$67,714,450",-,-,"$67,714,450",100%
11,Avatar 2021 Re-release,"$56,409,747",-,-,"$56,409,747",100%
12,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
13,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
14,I Fell in Love Like A Flower Bouquet,"$33,012,458",-,-,"$33,012,458",100%
15,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
16,Nobody,"$32,502,045","$19,131,045",58.9%,"$13,371,000",41.1%
17,The Little Things,"$29,764,683","$15,164,683",50.9%,"$14,600,000",49.1%
18,Master,"$28,692,230",-,-,"$28,692,230",100%
19,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
20,The Marksman,"$21,879,969","$15,264,002",69.8%,"$6,615,967",30.2%
21,Chaos Walking,"$21,374,908","$12,774,908",59.8%,"$8,600,000",40.2%
22,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
23,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
24,Bo Gia,"$16,749,021",-,-,"$16,749,021",100%
25,The Dry,"$16,733,693",-,-,"$16,733,693",100%
26,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
27,Vakeel Saab,"$13,001,745",-,-,"$13,001,745",100%
28,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
29,Minari,"$10,735,974","$2,151,855",20%,"$8,584,119",80%
30,Mortal Kombat,"$10,700,000",-,-,"$10,700,000",100%
31,Krack,"$10,442,916",-,-,"$10,442,916",100%
32,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
33,Peter Rabbit 2,"$10,200,000",-,-,"$10,200,000",100%
34,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
35,"Caution, Hazardous Wife: The Movie","$9,072,317",-,-,"$9,072,317",100%
36,The Eleventh Chapter,"$8,825,128",-,-,"$8,825,128",100%
37,The Unholy,"$7,950,550","$7,502,733",94.4%,"$447,817",5.6%
38,The Courier,"$7,908,213","$5,085,901",64.3%,"$2,822,312",35.7%
39,Judas and the Black Messiah,"$6,000,022","$5,295,022",88.3%,"$705,000",11.7%
40,Penguin Bloom,"$5,928,499",-,-,"$5,928,499",100%
41,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
42,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
43,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
44,Nomadland,"$5,035,944","$2,143,000",42.6%,"$2,892,944",57.4%
45,Dad,"$5,015,023",-,-,"$5,015,023",100%
46,Red,"$4,920,261",-,-,"$4,920,261",100%
47,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
48,Kiba: The Fangs of Fiction,"$4,529,743",-,-,"$4,529,743",100%
49,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
50,Boogie,"$4,178,620","$4,178,620",100%,-,-
51,Signal: The Movie,"$3,985,360",-,-,"$3,985,360",100%
52,Karnan,"$3,686,556",-,-,"$3,686,556",100%
53,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
54,Wrong Turn,"$3,543,300","$1,077,842",30.4%,"$2,465,458",69.6%
55,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
56,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
57,The Mauritanian,"$3,336,536","$836,536",25.1%,"$2,500,000",74.9%
58,Girls und Panzer das Finale: Part III,"$2,582,956",-,-,"$2,582,956",100%
59,Land,"$2,577,830","$2,577,830",100%,-,-
60,Roohi,"$2,522,685",-,-,"$2,522,685",100%
61,High Ground,"$2,358,232",-,-,"$2,358,232",100%
62,Mumbai Saga,"$2,227,926",-,-,"$2,227,926",100%
63,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
64,Couple from the Future,"$2,149,883",-,-,"$2,149,883",100%
65,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
66,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
67,The Book of Fish,"$2,018,411",-,-,"$2,018,411",100%
68,The Girl Who Believes in Miracles,"$1,998,297","$1,998,297",100%,-,-
69,Voyagers,"$1,984,963","$1,768,674",89.1%,"$216,289",10.9%
70,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
71,One Second Champion,"$1,862,319",-,-,"$1,862,319",100%
72,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
73,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
74,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
75,Boss Level,"$1,376,269",-,-,"$1,376,269",100%
76,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
77,Juega Conmigo,"$1,324,326",-,-,"$1,324,326",100%
78,I Care a Lot,"$1,275,813",-,-,"$1,275,813",100%
79,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
80,French Exit,"$1,131,312","$465,718",41.2%,"$665,594",58.8%
81,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
82,Crisis,"$1,101,706","$404,738",36.7%,"$696,968",63.3%
83,Super Me,"$1,100,000",-,-,"$1,100,000",100%
84,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
85,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
86,Extinct,"$1,052,320",-,-,"$1,052,320",100%
87,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
88,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
89,A Stand Worthy of Men,"$985,584",-,-,"$985,584",100%
90,Cousins,"$960,995",-,-,"$960,995",100%
91,Zoya,"$944,885",-,-,"$944,885",100%
92,Ensemble Stars!! Es Music Garden Delay Viewing,"$880,373",-,-,"$880,373",100%
93,In the Mood for Love 2020 Re-release,"$864,284",-,-,"$864,284",100%
94,The Box,"$822,022",-,-,"$822,022",100%
95,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
96,Lamb of God: The Concert Film,"$721,968","$721,968",100%,-,-
97,Long Story Short,"$664,113",-,-,"$664,113",100%
98,Our Friend,"$663,725","$663,725",100%,-,-
99,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
100,Music,"$641,783",-,-,"$641,783",100%
101,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
102,Maya the Bee 3: The Golden Orb,"$544,576",-,-,"$544,576",100%
103,Long Weekend,"$525,966","$525,966",100%,-,-
104,Dark Spell,"$515,596",-,-,"$515,596",100%
105,The Truffle Hunters,"$457,136","$46,455",10.2%,"$410,681",89.8%
106,Girls Can't Surf,"$454,188",-,-,"$454,188",100%
107,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
108,Twist,"$438,168",-,-,"$438,168",100%
109,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
110,Ready o/r Knot,"$418,994",-,-,"$418,994",100%
111,Willy's Wonderland,"$418,286","$418,286",100%,-,-
112,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
113,One,"$407,871",-,-,"$407,871",100%
114,Ainbo,"$406,475",-,-,"$406,475",100%
115,Riders of Justice,"$376,314",-,-,"$376,314",100%
116,The Vault,"$366,193",-,-,"$366,193",100%
117,Russian Yug,"$348,435",-,-,"$348,435",100%
118,My Salinger Year,"$347,711","$54,730",15.7%,"$292,981",84.3%
119,Earwig and the Witch,"$347,650","$173,704",50%,"$173,946",50%
120,Supernova,"$345,094","$234,220",67.9%,"$110,874",32.1%
121,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
122,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
123,Dutch,"$323,167","$323,167",100%,-,-
124,Kabadadaari,"$302,563",-,-,"$302,563",100%
125,Abominable 2021 Re-release,"$299,583","$110,000",36.7%,"$189,583",63.3%
126,Dawn Raid,"$292,930",-,-,"$292,930",100%
127,Ginger's Tale,"$284,298",-,-,"$284,298",100%
128,Don't Heal Me,"$282,513",-,-,"$282,513",100%
129,American Skin,"$282,332","$282,332",100%,-,-
130,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
131,2021 Oscar Nominated Short Films: Live Action,"$252,994","$252,994",100%,-,-
132,The Only Way Out,"$248,102",-,-,"$248,102",100%
133,Cosmic Sin,"$246,325",-,-,"$246,325",100%
134,Vellam,"$233,364",-,-,"$233,364",100%
135,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
136,Sultan,"$229,905",-,-,"$229,905",100%
137,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
138,Go Back,"$190,002",-,-,"$190,002",100%
139,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
140,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
141,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
142,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$177,569",-,-,"$177,569",100%
143,Sound of Metal,"$174,936",-,-,"$174,936",100%
144,The Lord of the Rings: The Return of the King 2021 Re-release,"$166,473",-,-,"$166,473",100%
145,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
146,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
147,Después de Ti,"$158,721",-,-,"$158,721",100%
148,Blind,"$147,131",-,-,"$147,131",100%
149,Song Song,"$140,886",-,-,"$140,886",100%
150,Shades Of The Heart,"$139,869",-,-,"$139,869",100%
151,No Man's Land,"$139,221","$139,221",100%,-,-
152,Ascendant,"$138,362",-,-,"$138,362",100%
153,Food Club,"$136,167",-,-,"$136,167",100%
154,Scarecrow,"$128,665",-,-,"$128,665",100%
155,Anything for Jackson,"$119,340",-,-,"$119,340",100%
156,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
157,The World to Come,"$114,379","$114,379",100%,-,-
158,Rang De,"$113,975",-,-,"$113,975",100%
159,The Priest,"$110,855",-,-,"$110,855",100%
160,Redemption Day,"$106,365",-,-,"$106,365",100%
161,Our Friend 2021 Re-release,"$100,668",-,-,"$100,668",100%
162,Safer at Home,"$100,323","$95,643",95.3%,"$4,680",4.7%
163,From the Vine,"$97,995",-,-,"$97,995",100%
164,Demon Hunter,"$97,740",-,-,"$97,740",100%
165,Breaking News in Yuba County,"$90,933",-,-,"$90,933",100%
166,Khara Khaar,"$89,983",-,-,"$89,983",100%
167,Kieu,"$89,973",-,-,"$89,973",100%
168,Breakout Brothers,"$85,037",-,-,"$85,037",100%
169,The Lord of the Rings: The Two Towers 2021 Re-release,"$84,695",-,-,"$84,695",100%
170,Hvernig á að vera Klassa Drusla,"$82,183",-,-,"$82,183",100%
171,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
172,My Missing Valentine,"$74,787",-,-,"$74,787",100%
173,Simple Passion,"$72,358",-,-,"$72,358",100%
174,Russia from Above,"$71,629",-,-,"$71,629",100%
175,Mick Fleetwood & Friends celebrate the music of Peter Green,"$70,764",-,-,"$70,764",100%
176,Nayattu,"$70,200",-,-,"$70,200",100%
177,Son,"$69,739","$55,068",79%,"$14,671",21%
178,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
179,Held,"$63,174","$63,174",100%,-,-
180,Come True,"$62,080","$62,080",100%,-,-
181,Kala,"$60,895",-,-,"$60,895",100%
182,Haunted,"$57,901",-,-,"$57,901",100%
183,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
184,Dara of Jasenovac,"$52,786","$52,786",100%,-,-
185,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
186,SAS: Red Notice,"$51,393",-,-,"$51,393",100%
187,My Zoe,"$50,820","$50,820",100%,-,-
188,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
189,Days of the Bagnold Summer,"$50,118",-,-,"$50,118",100%
190,Reel Rock 15,"$48,412",-,-,"$48,412",100%
191,Last Call,"$48,144","$48,144",100%,-,-
192,Kieu @,"$46,763",-,-,"$46,763",100%
193,Maledetto Modigliani,"$46,035",-,-,"$46,035",100%
194,MLK/FBI,"$45,200","$45,200",100%,-,-
195,A Distant Place 2021 Re-release,"$44,768",-,-,"$44,768",100%
196,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
197,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
198,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
199,Nizhal,"$40,298",-,-,"$40,298",100%
200,Way Back Home,"$39,073",-,-,"$39,073",100%
201,Little Fish,"$39,053","$39,053",100%,-,-
202,Senior Moment,"$38,457","$38,457",100%,-,-
203,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
204,Shiva Baby,"$38,116","$38,116",100%,-,-
205,Anugraheethan Antony,"$35,224",-,-,"$35,224",100%
206,Yuvarathnaa,"$34,007",-,-,"$34,007",100%
207,The People Upstairs,"$33,404",-,-,"$33,404",100%
208,Honeydew,"$32,890","$32,890",100%,-,-
209,Fighter,"$32,838",-,-,"$32,838",100%
210,Crime Boss,"$32,749",-,-,"$32,749",100%
211,"Botticelli, Florence And The Medici","$32,323",-,-,"$32,323",100%
212,Bloody Hell,"$28,037","$28,037",100%,-,-
213,Playhouse,"$27,436",-,-,"$27,436",100%
214,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
215,Daisy Quokka: World's Scariest Animal,"$26,960",-,-,"$26,960",100%
216,The Night,"$26,114","$26,114",100%,-,-
217,The Pinkies Are Back,"$24,729",-,-,"$24,729",100%
218,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
219,Fear of Rain,"$24,565",-,-,"$24,565",100%
220,Breaking the Waves 2021 Re-release,"$23,500",-,-,"$23,500",100%
221,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
222,Saina,"$22,765",-,-,"$22,765",100%
223,The Redeemers,"$22,283",-,-,"$22,283",100%
224,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
225,The Penitent Thief,"$21,507",-,-,"$21,507",100%
226,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
227,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
228,Beyond the Sky,"$19,761",-,-,"$19,761",100%
229,Kazdy ma swoje lato,"$19,619",-,-,"$19,619",100%
230,Dreamfactory 2021 Re-release,"$18,854",-,-,"$18,854",100%
231,Dead Reckoning,"$18,016",-,-,"$18,016",100%
232,Mystery of the Kingdom of God,"$17,316","$17,316",100%,-,-
233,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
234,Ya Baada,"$16,310",-,-,"$16,310",100%
235,Easter in Art,"$15,101",-,-,"$15,101",100%
236,Raphael: The Young Prodigy,"$14,258",-,-,"$14,258",100%
237,You Don't Mess with Little Bugs 2021 Re-release,"$13,621",-,-,"$13,621",100%
238,Body Brokers,"$13,472",-,-,"$13,472",100%
239,Stray,"$13,428","$13,325",99.2%,$103,0.8%
240,Kaadan,"$12,080",-,-,"$12,080",100%
241,È per il tuo bene,"$12,023",-,-,"$12,023",100%
242,The Devil Below,"$12,008",-,-,"$12,008",100%
243,Rurangi,"$11,624",-,-,"$11,624",100%
244,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
245,Bennett's War 2021 Re-release,"$11,213",-,-,"$11,213",100%
246,Barb and Star Go to Vista Del Mar,"$10,857",-,-,"$10,857",100%
247,About Hope,"$10,814","$10,814",100%,-,-
248,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,638",-,-,"$10,638",100%
249,The Host,"$10,305",-,-,"$10,305",100%
250,All Hands on Deck,"$10,103",-,-,"$10,103",100%
251,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
252,The United States vs. Billie Holiday,"$9,287",-,-,"$9,287",100%
253,Average Joe,"$9,176","$9,176",100%,-,-
254,Here We Are,"$9,128",-,-,"$9,128",100%
255,Sandeep Aur Pinky Faraar,"$8,735",-,-,"$8,735",100%
256,What Lies Below,"$8,550",-,-,"$8,550",100%
257,The Delivered,"$7,486",-,-,"$7,486",100%
258,The Incredible 25th Year of Mitzi Bearclaw,"$7,001","$7,001",100%,-,-
259,Knuckledust,"$6,428",-,-,"$6,428",100%
260,Hunted,"$6,391",-,-,"$6,391",100%
261,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
262,Abandoned: Angelique's Isle,"$6,055","$6,055",100%,-,-
263,Dark State,"$5,824","$5,824",100%,-,-
264,Uppena,"$5,794",-,-,"$5,794",100%
265,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
266,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
267,Zombie Bro,"$5,208","$5,208",100%,-,-
268,Things Don't Stay Fixed,"$5,127","$5,127",100%,-,-
269,Chasing the Dragon II: Wild Wild Bunch 2021 Re-release,"$5,105",-,-,"$5,105",100%
270,Dreamcatcher,"$5,033",-,-,"$5,033",100%
271,Women,"$4,864",-,-,"$4,864",100%
272,Wander,"$4,609",-,-,"$4,609",100%
273,Check,"$4,363",-,-,"$4,363",100%
274,No Place,"$4,194","$4,194",100%,-,-
275,438 Days,"$4,076",-,-,"$4,076",100%
276,Trash 2 Dash,"$3,965",-,-,"$3,965",100%
277,Belle & Sebastian,"$3,965",-,-,"$3,965",100%
278,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
279,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
280,Line of Descent,"$3,599",-,-,"$3,599",100%
281,Turn of the Screw,"$3,533",-,-,"$3,533",100%
282,Blood Brothers: Civil War,"$3,514","$3,514",100%,-,-
283,A Perfect Enemy,"$3,502",-,-,"$3,502",100%
284,Sweet River,"$3,365",-,-,"$3,365",100%
285,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
286,The Seventh Day,"$3,027",-,-,"$3,027",100%
287,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
288,The Boonies,"$2,872","$2,872",100%,-,-
289,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
290,Mother to Earth,"$2,250","$2,250",100%,-,-
291,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
292,Eden,"$1,755",-,-,"$1,755",100%
293,James & Isey,"$1,680",-,-,"$1,680",100%
294,Adopt a Daddy 2021 Re-release,"$1,533",-,-,"$1,533",100%
295,Slalom,"$1,405","$1,405",100%,-,-
296,Stela,"$1,229",-,-,"$1,229",100%
297,Elbow Grease,$917,$917,100%,-,-
298,Automation,$824,-,-,$824,100%
299,The Dig,$693,-,-,$693,100%
300,Run with the Hunted,$682,-,-,$682,100%
301,Money Plane,$618,-,-,$618,100%
302,First Signal,$580,$580,100%,-,-
303,Life On Deniston Plateau,$509,-,-,$509,100%
304,No Time to Die,$456,-,-,$456,100%
305,Békeidö,$445,-,-,$445,100%
306,American Desert,$244,-,-,$244,100%
307,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
308,Distorted 2021 Re-release,$152,-,-,$152,100%
309,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
